id,name,slug,downloads,link
1267421,MakerBundle,makerbundle,64,https://www.curseforge.com/minecraft/modpacks/makerbundle
1108503,Create: Dive Deep,create-dive-deep,1938,https://www.curseforge.com/minecraft/modpacks/create-dive-deep
1332658,Create Euphoria,create-euphoria,7,https://www.curseforge.com/minecraft/modpacks/create-euphoria
964350,Voxel Runner's Official Modpack (DISCONTINUED),vrom,2484,https://www.curseforge.com/minecraft/modpacks/vrom
599451,Earth Cube,earth-cube,1012,https://www.curseforge.com/minecraft/modpacks/earth-cube
1331545,The Wars Within,the-wars-within,12,https://www.curseforge.com/minecraft/modpacks/the-wars-within
1330941,Automation Nations!,automation-nations,15,https://www.curseforge.com/minecraft/modpacks/automation-nations
1328812,"Ambition, Technology and Crafts",ambition-techs-crafts,9,https://www.curseforge.com/minecraft/modpacks/ambition-techs-crafts
1325447,Love & War X,love-war-x,63,https://www.curseforge.com/minecraft/modpacks/love-war-x
1208149,Etar Sky R,etar-sky-r,9159,https://www.curseforge.com/minecraft/modpacks/etar-sky-r
1247122,Create and Build,create-and-build,161,https://www.curseforge.com/minecraft/modpacks/create-and-build
1327313,Factory Adventures,factory-adventures,88,https://www.curseforge.com/minecraft/modpacks/factory-adventures
1311289,KriegKraft,k-k,142,https://www.curseforge.com/minecraft/modpacks/k-k
1326739,Arkenium,arkenium,28,https://www.curseforge.com/minecraft/modpacks/arkenium
1037702,Onbeland,onbeland,214,https://www.curseforge.com/minecraft/modpacks/onbeland
1326007,CubeWorks Quality Pack,cubeworks-quality-pack,5,https://www.curseforge.com/minecraft/modpacks/cubeworks-quality-pack
1161865,CircuitCraft: Reborn,circuitcraft-modpack,1086,https://www.curseforge.com/minecraft/modpacks/circuitcraft-modpack
1324458,los pollos a broken bad enhance,los-pollos-a-broken-bad-modpack,42,https://www.curseforge.com/minecraft/modpacks/los-pollos-a-broken-bad-modpack
1305741,terraCalypse,t-terracalypse,185,https://www.curseforge.com/minecraft/modpacks/t-terracalypse
1247495,Bonifacio SMP,bonifacio-smp,329,https://www.curseforge.com/minecraft/modpacks/bonifacio-smp
1217635,Create: Modern Warfare,create-modern-warfare,17692,https://www.curseforge.com/minecraft/modpacks/create-modern-warfare
1310503,The Ventura Project,the-ventura-project,219,https://www.curseforge.com/minecraft/modpacks/the-ventura-project
1282047,Soviet Dominion - Uprising ,soviet-dominon,756,https://www.curseforge.com/minecraft/modpacks/soviet-dominon
1272220,Lost Tech of Supernatural Lands: New Lands,ltosl-newlands,630,https://www.curseforge.com/minecraft/modpacks/ltosl-newlands
1209643,Unlimited travel [forge],utl,112,https://www.curseforge.com/minecraft/modpacks/utl
1200032,"Guns, Dragons, and Death!",hardened-automation,459,https://www.curseforge.com/minecraft/modpacks/hardened-automation
1216016,Chaots: Create+,chaots-create-plus,599,https://www.curseforge.com/minecraft/modpacks/chaots-create-plus
885927,Ultimate Realms SMP,ultimate-realms-smp,797,https://www.curseforge.com/minecraft/modpacks/ultimate-realms-smp
1128247,♦︎Create♦︎    ◎OverStresed◎,create-overstresed,318,https://www.curseforge.com/minecraft/modpacks/create-overstresed
1308849,Create Skylense,create-skylense,219,https://www.curseforge.com/minecraft/modpacks/create-skylense
1298014,Create Nation : Build your civilisation,create-nation-build-your-civilisation,220,https://www.curseforge.com/minecraft/modpacks/create-nation-build-your-civilisation
1316087,Peter's tech madness,peters-tech-madness,9,https://www.curseforge.com/minecraft/modpacks/peters-tech-madness
1282428,Naano - Utalyoa Edition,naano-mc-utalyoa-edition,435,https://www.curseforge.com/minecraft/modpacks/naano-mc-utalyoa-edition
1302713,Create:Space Age,create-space-age,202,https://www.curseforge.com/minecraft/modpacks/create-space-age
1086306,Create: Inventor's Paradise,create-inventors-paradise,165,https://www.curseforge.com/minecraft/modpacks/create-inventors-paradise
993424,Zee’s Ultimate Adventure,zeesultimateadventure,1135,https://www.curseforge.com/minecraft/modpacks/zeesultimateadventure
1292595,MCRP Adventures,mcrp-adventures,42,https://www.curseforge.com/minecraft/modpacks/mcrp-adventures
1114592, Industrialized,phillips-perfect-create-modpack,1882,https://www.curseforge.com/minecraft/modpacks/phillips-perfect-create-modpack
1303769,The Weirdos Experience,the-weirdos-experience,76,https://www.curseforge.com/minecraft/modpacks/the-weirdos-experience
1292141,Divine Chaos Project,divine-chaos-project,149,https://www.curseforge.com/minecraft/modpacks/divine-chaos-project
1140816,Create: Beyond Industry [DISCONTINUED],create-beyond-industry,2390,https://www.curseforge.com/minecraft/modpacks/create-beyond-industry
1299745,Endgame Protocol,endgame-protocol,232,https://www.curseforge.com/minecraft/modpacks/endgame-protocol
1234505,Black Vault: Archives,black-vault-archives,627,https://www.curseforge.com/minecraft/modpacks/black-vault-archives
1298406,All of Canela Diet Edition,all-of-canela-diet-edition,173,https://www.curseforge.com/minecraft/modpacks/all-of-canela-diet-edition
1280763,The Day After [TDA],the-day-after-tda,168,https://www.curseforge.com/minecraft/modpacks/the-day-after-tda
1297530,The Hard Craft,the-hard-craft,87,https://www.curseforge.com/minecraft/modpacks/the-hard-craft
1305125,Nuvetra,nuvetra,7,https://www.curseforge.com/minecraft/modpacks/nuvetra
957322,Koi Craft,koi-craft,1129,https://www.curseforge.com/minecraft/modpacks/koi-craft
1304469,TSO’s Future Bloom,tsos-future-bloom,44,https://www.curseforge.com/minecraft/modpacks/tsos-future-bloom
1281902,Adventurecraft: Create Editon,adventurecraft-create-editon,568,https://www.curseforge.com/minecraft/modpacks/adventurecraft-create-editon
1232453,Weeknight-Eclipse,weeknight-eclipse,195,https://www.curseforge.com/minecraft/modpacks/weeknight-eclipse
1297263,Sinepack,sinepack,59,https://www.curseforge.com/minecraft/modpacks/sinepack
1277670,The Gang Gets Creative,the-gang-gets-creative,289,https://www.curseforge.com/minecraft/modpacks/the-gang-gets-creative
1276520,Souls Automation,souls-automation,23,https://www.curseforge.com/minecraft/modpacks/souls-automation
829341,SauciTown,saucitown,1185,https://www.curseforge.com/minecraft/modpacks/saucitown
1296939,Create EU,create-eu,150,https://www.curseforge.com/minecraft/modpacks/create-eu
1295958,Novus Orbis,novus-orbis,51,https://www.curseforge.com/minecraft/modpacks/novus-orbis
1300473,Create: Skies of the Aether,create-skies-of-the-aether,24,https://www.curseforge.com/minecraft/modpacks/create-skies-of-the-aether
1163910,NonociaCreate,nonociacreate,204,https://www.curseforge.com/minecraft/modpacks/nonociacreate
1278996,Colony: Expeditions,colony-expeditions,441,https://www.curseforge.com/minecraft/modpacks/colony-expeditions
1287388,(FROZEN! IT DOESN'T WORK!)Create: In the Shadow of the Universes,create-in-the-shadow-of-the-universes,15,https://www.curseforge.com/minecraft/modpacks/create-in-the-shadow-of-the-universes
1276949,Industrial Nightmare,industrial-nightmare,58,https://www.curseforge.com/minecraft/modpacks/industrial-nightmare
1287580,TechnoArcana: Machinations of Horror,technoarcana-machinations-of-horror,116,https://www.curseforge.com/minecraft/modpacks/technoarcana-machinations-of-horror
1297493,Bare Bones RPG Co-op pack,bare-bones-rpg-coop-pack,46,https://www.curseforge.com/minecraft/modpacks/bare-bones-rpg-coop-pack
1283984,The Last Krafter,the-last-krafter,947,https://www.curseforge.com/minecraft/modpacks/the-last-krafter
1040872,HorizonEdge,horizonedge,1549,https://www.curseforge.com/minecraft/modpacks/horizonedge
